# time	energy_lowpass
27.930000	-41.594455
27.940000	-41.436837
27.950000	-41.306804
27.960000	-41.169696
27.970000	-41.027596
27.980000	-40.892614
27.990000	-40.757091
28.000000	-40.652212
28.010000	-40.580317
28.020000	-40.520187
28.030000	-40.479373
28.040000	-40.405983
28.050000	-40.293134
28.060000	-40.171147
28.070000	-40.024999
28.080000	-39.880286
28.090000	-39.739271
28.100000	-39.575829
28.110000	-39.395056
28.120000	-39.242629
28.130000	-39.118928
28.140000	-39.005166
28.150000	-38.912684
28.160000	-38.807856
28.170000	-38.688431
28.180000	-38.580490
28.190000	-38.476515
28.200000	-38.378317
28.210000	-38.289015
28.220000	-38.202432
28.230000	-38.119872
28.240000	-38.046592
28.250000	-37.982287
28.260000	-37.925704
28.270000	-37.878074
28.280000	-37.828674
28.290000	-37.776737
28.300000	-37.728447
28.310000	-37.681051
28.320000	-37.640541
28.330000	-37.607664
28.340000	-37.577203
28.350000	-37.550603
28.360000	-37.536363
28.370000	-37.534751
28.380000	-37.542849
28.390000	-37.562963
28.400000	-37.589133
28.410000	-37.621254
28.420000	-37.664380
28.430000	-37.717403
28.440000	-37.776763
28.450000	-37.842873
28.460000	-37.916829
28.470000	-37.997927
28.480000	-38.089811
28.490000	-38.192782
28.500000	-38.304568
28.510000	-38.426098
28.520000	-38.494542
28.530000	-38.503339
28.540000	-38.482651
28.550000	-38.414245
28.560000	-38.333720
28.570000	-38.242506
28.580000	-38.106185
28.590000	-37.931186
28.600000	-37.763536
28.610000	-37.602042
28.620000	-37.427956
28.630000	-37.251884
28.640000	-37.036487
28.650000	-36.778650
28.660000	-36.505067
28.670000	-36.206714
28.680000	-35.925140
28.690000	-35.666824
28.700000	-35.405228
28.710000	-35.152562
28.720000	-34.890328
28.730000	-34.616433
28.740000	-34.350935
28.750000	-34.090072
28.760000	-33.792939
28.770000	-33.458714
28.780000	-33.104656
28.790000	-32.720416
28.800000	-32.334994
28.810000	-31.950281
28.820000	-31.543192
28.830000	-31.120094
28.840000	-30.749552
28.850000	-30.435860
28.860000	-30.151344
28.870000	-29.915146
28.880000	-29.682264
28.890000	-29.451410
28.900000	-29.262361
28.910000	-29.106725
28.920000	-28.943535
28.930000	-28.774896
28.940000	-28.615731
28.950000	-28.456890
28.960000	-28.334293
28.970000	-28.250707
28.980000	-28.181397
28.990000	-28.135057
29.000000	-28.056835
29.010000	-27.939225
29.020000	-27.814823
29.030000	-27.667706
29.040000	-27.524460
29.050000	-27.387544
29.060000	-27.229551
29.070000	-27.055795
29.080000	-26.915586
29.090000	-26.809449
29.100000	-26.717005
29.110000	-26.650544
29.120000	-26.574034
29.130000	-26.485078
29.140000	-26.411767
29.150000	-26.346075
29.160000	-26.282476
29.170000	-26.223601
29.180000	-26.166378
29.190000	-26.110069
29.200000	-26.064667
29.210000	-26.030038
29.220000	-26.000732
29.230000	-25.978885
29.240000	-25.958348
29.250000	-25.938170
29.260000	-25.922867
29.270000	-25.910734
29.280000	-25.903861
29.290000	-25.902713
29.300000	-25.904826
29.310000	-25.910721
29.320000	-25.934507
29.330000	-25.977264
29.340000	-26.032731
29.350000	-26.104864
29.360000	-26.185066
29.370000	-26.273000
29.380000	-26.376518
29.390000	-26.494005
29.400000	-26.616813
29.410000	-26.745322
29.420000	-26.882769
29.430000	-27.027202
29.440000	-27.185999
29.450000	-27.359732
29.460000	-27.543251
29.470000	-27.738334
29.480000	-27.914694
29.490000	-28.068807
29.500000	-28.216242
29.510000	-28.348170
29.520000	-28.480902
29.530000	-28.615290
29.540000	-28.735173
29.550000	-28.843546
29.560000	-28.964197
29.570000	-29.096787
29.580000	-29.231500
29.590000	-29.373950
29.600000	-29.505462
29.610000	-29.624545
29.620000	-29.744882
29.630000	-29.862047
29.640000	-29.994303
29.650000	-30.144777
29.660000	-30.301530
29.670000	-30.470040
29.680000	-30.642723
29.690000	-30.818715
29.700000	-31.006716
29.710000	-31.205250
29.720000	-31.395707
29.730000	-31.577733
29.740000	-31.759404
29.750000	-31.936059
29.760000	-32.120876
29.770000	-32.314803
29.780000	-32.507433
29.790000	-32.701719
29.800000	-32.893035
29.810000	-33.079712
29.820000	-33.265998
29.830000	-33.450214
29.840000	-33.632505
29.850000	-33.813045
29.860000	-33.990138
29.870000	-34.163671
29.880000	-34.340839
29.890000	-34.521848
29.900000	-34.703004
29.910000	-34.886058
29.920000	-35.066210
29.930000	-35.242937
29.940000	-35.420001
29.950000	-35.596224
29.960000	-35.771465
29.970000	-35.946071
29.980000	-36.119194
29.990000	-36.290850
30.000000	-36.461856
30.010000	-36.632081
30.020000	-36.801111
30.030000	-36.969057
30.040000	-37.134256
30.050000	-37.296479
30.060000	-37.456551
30.070000	-37.613962
30.080000	-37.769456
30.090000	-37.923039
30.100000	-38.073860
30.110000	-38.222018
30.120000	-38.337722
30.130000	-38.417723
30.140000	-38.475943
30.150000	-38.503605
30.160000	-38.517434
30.170000	-38.517904
30.180000	-38.488537
30.190000	-38.432198
30.200000	-38.370436
30.210000	-38.302500
30.220000	-38.219359
30.230000	-38.125838
30.240000	-38.004098
30.250000	-37.852484
30.260000	-37.683424
30.270000	-37.492468
30.280000	-37.299938
30.290000	-37.108799
30.300000	-36.905915
30.310000	-36.697126
30.320000	-36.473005
30.330000	-36.232361
30.340000	-35.984968
30.350000	-35.728775
30.360000	-35.443644
30.370000	-35.129020
30.380000	-34.793129
30.390000	-34.430752
30.400000	-34.055923
30.410000	-33.669391
30.420000	-33.259704
30.430000	-32.829808
30.440000	-32.490380
30.450000	-32.251311
30.460000	-32.062767
30.470000	-31.956466
30.480000	-31.866000
30.490000	-31.789090
30.500000	-31.787788
30.510000	-31.849998
30.520000	-31.900093
30.530000	-31.940705
30.540000	-32.001676
30.550000	-32.065792
30.560000	-32.196108
30.570000	-32.397796
30.580000	-32.626438
30.590000	-32.897322
30.600000	-33.130489
